ts,section,vertical_axis,horizontal_axis,chair_score_base,duration_adjustment,chair_score_final,seat_height_base,seat_height_total,seat_height_left_knee_angle,seat_height_right_knee_angle,seat_height_avg_knee_angle,seat_height_classification,seat_height_left_ankle_drop,seat_height_right_ankle_drop,seat_height_foot_contact,seat_depth_base,seat_depth_total,seat_depth_avg_thigh_len,seat_depth_avg_thigh_span_x,armrest_base,armrest_total,armrest_left_elbow_angle,armrest_right_elbow_angle,armrest_classification,back_support_base,back_support_total,back_support_trunk_inclination,back_support_classification
1758790997.5506828,A,4,4,3,-1,2,3,3,102.25478481445711,79.82645493128838,91.04061987287275,0.0,17.063720703125,-12.67724609375,0.0,1,1,113.71458331029906,30.843048095703125,2,2,38.24172813447039,32.78428251735372,1.0,2,2,128.36376962005102,1.0
1758791002.637271,A,4,4,3,-1,2,3,3,66.72767370525709,93.05805502830773,79.89286436678242,1.0,33.82948035351683,-14.638610017470796,0.0,1,1,84.4154133393679,1.6875360498449936,2,2,52.337917292340144,41.92157656644736,1.0,2,2,165.38263371695987,1.0
1758791007.6711333,A,4,4,3,-1,2,3,3,77.76243778080318,103.27183433665152,90.51713605872735,0.0,30.42752173507961,-31.420237779678473,0.0,1,1,77.21497922968275,7.254842500955647,2,2,65.01638930970687,62.037023898197795,1.0,2,2,165.80796407060402,1.0
1758791012.7321358,A,4,4,3,-1,2,3,3,179.88549659583342,106.85590033623515,143.3706984660343,2.0,-0.3207346008625791,-48.93443000132311,0.0,1,1,84.2280786039596,49.90896749032521,2,2,46.70261140337792,67.10599585494434,1.0,2,2,178.21794729481692,1.0
